movie_name,movie_date,movie_description,movie_rate,movie_director,movie_type,movie_lanuage,movie_star
闻香识女人,1992,史上最美的探戈。,296496人评价,马丁·布莱斯 Martin Brest,剧情,美国,8.9
美丽心灵,2001,爱是一切逻辑和原由。,283764人评价,朗·霍华德 Ron Howard,传记 剧情,美国,8.9
教父2,1974,优雅的孤独。,172430人评价,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,美国,9.1
指环王2：双塔奇兵,2002,承前启后的史诗篇章。,253092人评价,彼得·杰克逊 Peter Jackson,剧情 动作 奇幻 冒险,美国 新西兰,8.9
指环王1：魔戒再现,2001,传说的开始。,282172人评价,彼得·杰克逊 Peter Jackson,剧情 动作 奇幻 冒险,新西兰 美国,8.9
哈尔的移动城堡,2004,带着心爱的人在天空飞翔。,318565人评价,宫崎骏 Hayao Miyazaki,爱情 动画 奇幻 冒险,日本,8.8
天使爱美丽,2001,法式小清新。 ,451887人评价,Jean-Pierre Jeunet,喜剧 爱情,法国 德国,8.7
情书,1995,暗恋的极致。,343258人评价,岩井俊二 Shunji Iwai,剧情 爱情,日本,8.8
死亡诗社,1989,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,252677人评价,彼得·威尔 Peter Weir,剧情,美国,8.9
美国往事,1984,往事如烟，无处祭奠。,160614人评价,Sergio Leone,犯罪 剧情,意大利 美国,9.1
七宗罪,1995,警察抓小偷，老鼠玩死猫。,406753人评价,大卫·芬奇 David Fincher,剧情 犯罪 悬疑 惊悚,美国,8.7
钢琴家,2002,音乐能化解仇恨。,187730人评价,罗曼·波兰斯基 Roman Polanski,剧情 传记 历史 战争,法国 德国 英国 波兰,9.0
狮子王,1994,动物版《哈姆雷特》。,260571人评价,Roger Allers / 罗伯·明可夫 Rob Minkoff,剧情 动画 冒险 歌舞 家庭,美国,8.9
勇敢的心,1995,史诗大片的典范。,277968人评价,梅尔·吉布森 Mel Gibson,动作 传记 剧情 历史 战争,美国,8.8
致命魔术,2006,孪生蝙蝠侠大战克隆金刚狼。,312843人评价,克里斯托弗·诺兰 Christopher Nolan,剧情 悬疑 惊悚,美国 英国,8.8
被嫌弃的松子的一生,2006,以戏谑来戏谑戏谑。,249715人评价,中岛哲也 Tetsuya Nakashima,剧情 歌舞,日本,8.9
剪刀手爱德华,1990,浪漫忧郁的成人童话。,450124人评价,Tim Burton,剧情 奇幻 爱情,美国,8.7
辩护人,2013,电影的现实意义大过电影本身。,176407人评价,杨宇硕 Woo-seok Yang,剧情,韩国,9.1
音乐之声,1965,用音乐化解仇恨，让歌声串起美好。,215110人评价,Robert Wise,剧情 爱情 歌舞 家庭 传记,美国,8.9
小鞋子,1999,奔跑的孩子是天使。,123083人评价,马基德·马基迪 Majid Majidi,剧情 家庭 儿童,伊朗,9.1
饮食男女,1994,人生不能像做菜，把所有的料都准备好了才下锅。,168224人评价,李安 Ang Lee,剧情 家庭,台湾 美国,9.0
控方证人,1957,比利·怀德满分作品。,66932人评价,比利·怀尔德 Billy Wilder,剧情 犯罪 悬疑,美国,9.6
低俗小说,1994,故事的高级讲法。,304032人评价,昆汀·塔伦蒂诺 Quentin Tarantino,剧情 喜剧 犯罪,美国,8.7
入殓师,2008,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,298660人评价,泷田洋二郎 Yôjirô Takita,剧情,日本,8.8
沉默的羔羊,1991,安东尼·霍普金斯的顶级表演。,322308人评价,Jonathan Demme,剧情 犯罪 惊悚,美国,8.7
本杰明·巴顿奇事,2008,在时间之河里感受溺水之苦。,365502人评价,大卫·芬奇 David Fincher,剧情 爱情 奇幻,美国,8.7
蝴蝶效应,2004,人的命运被自己瞬间的抉择改变。,353336人评价,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,剧情 悬疑 科幻 惊悚,美国 加拿大,8.7
黑客帝国,1999,视觉革命。,256049人评价,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,动作 科幻,美国 澳大利亚,8.8
拯救大兵瑞恩,1998,美利坚精神输出大片No1.,214586人评价,史蒂文·斯皮尔伯格 Steven Spielberg,剧情 历史 战争,美国,8.8
玛丽和马克思,2009,你是我最好的朋友，你是我唯一的朋友 。,220196人评价,Adam Elliot,剧情 爱情 动画,澳大利亚,8.9
西西里的美丽传说,2000,美丽无罪。,311815人评价,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 战争 情色,意大利 美国,8.7
素媛,2013,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,151361人评价,李濬益 Jun-ik Lee,剧情 家庭,韩国,9.1
幽灵公主,1997,人与自然的战争史诗。,215196人评价,宫崎骏,动画 冒险 奇幻,日本,8.8
心灵捕手,1997,人生中应该拥有这样的一段豁然开朗。,243910人评价,格斯·范·桑特 Gus Van Sant,剧情,美国,8.7
第六感,1999,深入内心的恐怖，出人意料的结局。,212905人评价,M·奈特·沙马兰 M. Night Shyamalan,剧情 悬疑 恐怖,美国,8.8
阳光灿烂的日子,1994,一场华丽的意淫。,247245人评价,姜文 Wen Jiang,剧情,中国大陆 香港,8.7
让子弹飞,2010,你给我翻译翻译，神马叫做TMD的惊喜。,580225人评价,姜文 Wen Jiang,剧情 喜剧 动作 西部,中国大陆 香港,8.7
大鱼,2003,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,229982人评价,Tim Burton,剧情 家庭 奇幻 冒险,美国,8.7
射雕英雄传之东成西就,1993,百看不厌。 ,251521人评价,刘镇伟 Jeffrey Lau,喜剧 古装,香港,8.7
春光乍泄,1997,爱情纠缠，男女一致。,216868人评价,王家卫,剧情 爱情 同性,香港 日本 韩国,8.7
大闹天宫,1961,经典之作，历久弥新。,87091人评价,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,1978(全本),1964(下集),9.2
阳光姐妹淘,2011,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,245195人评价,姜炯哲 Hyeong-Cheol Kang,剧情 喜剧,韩国,8.8
重庆森林,1994,寂寞没有期限。,293229人评价,王家卫 Kar Wai Wong,剧情 爱情,香港,8.6
上帝之城,2002,被上帝抛弃了的上帝之城。,146367人评价,Kátia Lund / Fernando Meirelles,犯罪 剧情,巴西 法国,8.9
禁闭岛,2010,昔日翩翩少年，今日大腹便便。,324735人评价,Martin Scorsese,剧情 悬疑 惊悚,美国,8.6
甜蜜蜜,1996,逢只要一瞬间，等待却像是一辈子。,211208人评价,陈可辛 Peter Chan,剧情 爱情,香港,8.7
致命ID,2003,最不可能的那个人永远是最可能的。,285465人评价,James Mangold,剧情 悬疑 惊悚,美国,8.6
告白,2010,没有一人完全善，也没有一人完全恶。,309685人评价,中岛哲也 Tetsuya Nakashima,剧情 惊悚,日本,8.6
一一,2000,我们都曾经是一一。,139115人评价,杨德昌,剧情 爱情 家庭,台湾 日本,8.9
加勒比海盗,2003,约翰尼·德普的独角戏。,304161人评价,戈尔·维宾斯基 Gore Verbinski,动作 冒险 奇幻,美国,8.6
爱在黎明破晓前,1995,缘分是个连绵词，最美不过一瞬。,197149人评价,理查德·林克莱特 Richard Linklater,剧情 爱情,美国 奥地利 瑞士,8.7
萤火虫之墓,1988,幸福是生生不息，却难以触及的远。 ,187249人评价,高畑勋 Isao Takahata,动画 剧情 战争,日本,8.7
阿凡达,2009,绝对意义上的美轮美奂。,490292人评价,詹姆斯·卡梅隆 James Cameron,动作 冒险 奇幻 科幻,美国 英国,8.6
风之谷,1984,动画片的圣经。,160809人评价,宫崎骏 Hayao Miyazaki,科幻 动画 奇幻 冒险,日本,8.8
布达佩斯大饭店,2014,小清新的故事里注入了大历史的情怀。,273647人评价,韦斯·安德森 Wes Anderson,剧情 喜剧,美国 德国 英国,8.7
断背山,2005,每个人心中都有一座断背山。,291332人评价,李安 Ang Lee,剧情 爱情 同性 家庭,美国 加拿大,8.6
狩猎,2012,人言可畏。,106482人评价,托马斯·温特伯格 Thomas Vinterberg,剧情,丹麦 瑞典,9.0
爱在日落黄昏时,2004,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,181057人评价,理查德·林克莱特 Richard Linklater,剧情 爱情,美国,8.7
侧耳倾听,1995,少女情怀总是诗。,150848人评价,近藤喜文 Yoshifumi Kondo,剧情 爱情 动画 音乐,日本,8.8
猫鼠游戏,2002,骗子大师和执著警探的你追我跑故事。 ,194384人评价,史蒂文·斯皮尔伯格 Steven Spielberg,传记 犯罪 剧情,美国 加拿大,8.7
摩登时代,1936,大时代中的人生，小人物的悲喜。,76323人评价,查理·卓别林 Charles Chaplin,喜剧 剧情 爱情,美国,9.2
驯龙高手,2010,和谐的生活离不开摸头与被摸头。,260701人评价,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,喜剧 动画 奇幻 冒险 家庭,美国,8.7
海洋,2009,大海啊，不全是水。,93345人评价,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,纪录片,法国 瑞士 西班牙 美国 阿联酋,9.0
超脱,2011,穷尽一生，我们要学会的，不过是彼此拥抱。,154697人评价,托尼·凯耶 Tony Kaye,剧情,美国,8.7
末代皇帝,1987,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,140899人评价,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,剧情 传记 历史,意大利 中国大陆 英国 法国,8.8
哈利·波特与魔法石,2001,童话世界的开端。,220992人评价,Chris Columbus,奇幻 冒险,美国 英国,8.6
幸福终点站,2004,有时候幸福需要等一等。 ,208995人评价,史蒂文·斯皮尔伯格 Steven Spielberg,喜剧 剧情 爱情,美国,8.6
燃情岁月,1994,传奇，不是每个人都可以拥有。,139631人评价,爱德华·兹威克 Edward Zwick,剧情 爱情 西部 家庭,美国,8.8
