movie_name,movie_date,movie_description,movie_rate,movie_director,movie_type,movie_lanuage,movie_star
达拉斯买家俱乐部,2013,Jared Leto的腿比女人还美！,147533人评价,让-马克·瓦雷 Jean-Marc Vallée,剧情 传记 同性,美国,8.6
小森林 冬春篇,2015,无,90325人评价,森淳一 Junichi Mori,剧情,日本,8.9
变脸,1997,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,194952人评价,吴宇森 John Woo,动作 科幻 犯罪,美国,8.4
终结者2：审判日,1991,少见的超越首部的续集，动作片中的经典。,126781人评价,詹姆斯·卡梅隆 James Cameron,动作 科幻,美国 法国,8.5
叫我第一名,2008,乐观比一切都有力量。,98074人评价,彼得·维纳 Peter Werner,剧情 传记,美国,8.6
东京物语,1953,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,43188人评价,小津安二郎 Yasujirô Ozu,剧情 家庭,日本,9.2
E.T. 外星人,1982,生病的E.T.皮肤的颜色就像柿子饼。,136887人评价,Steven Spielberg,剧情 科幻 奇幻 冒险,美国,8.5
未麻的部屋,1997,好的剧本是，就算你猜到了结局也猜不到全部。,76800人评价,今敏 Satoshi Kon,动画 奇幻 惊悚,日本,8.8
被解救的姜戈,2012,热血沸腾，那个低俗、性感的无耻混蛋又来了。,235261人评价,昆汀·塔伦蒂诺 Quentin Tarantino,剧情 动作 西部 冒险,美国,8.5
牯岭街少年杀人事件,1991,弱者送给弱者的一刀。,89712人评价,杨德昌 Edward Yang,剧情 犯罪,台湾,8.7
末路狂花,1991,没有了退路，只好飞向自由。,90416人评价,雷德利·斯科特 Ridley Scott,犯罪 剧情 惊悚,美国 法国,8.7
穆赫兰道,2001,大卫·林奇的梦境迷宫。,208138人评价,大卫·林奇 David Lynch,剧情 悬疑 惊悚,法国 美国,8.3
爆裂鼓手,2014,无,202343人评价,达米安·沙泽勒 Damien Chazelle,剧情 音乐,美国,8.6
发条橙,1971,我完全康复了。,168094人评价,Stanley Kubrick,犯罪 剧情 科幻,英国 美国,8.4
哪吒闹海,1979,想你时你在闹海。,69642人评价,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,冒险 动画 奇幻,中国大陆,8.8
忠犬八公物语,1987,养狗三日，便会对你终其一生。,46982人评价,Seijirô Kôyama,剧情,日本,9.0
非常嫌疑犯,1995,我不信仰上帝，但我敬畏上帝。,102885人评价,布莱恩·辛格 Bryan Singer,剧情 犯罪 悬疑 惊悚,德国 美国,8.6
源代码,2011,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,371301人评价,邓肯·琼斯 Duncan Jones,剧情 动作 科幻 犯罪 惊悚,美国 加拿大,8.3
黑客帝国3：矩阵革命,2003,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,136975人评价,Andy Wachowski / Larry Wachowski,动作 科幻,美国 澳大利亚,8.5
新龙门客栈,1992,嬉笑怒骂，调风动月。,162524人评价,李惠民 Raymond Lee,剧情 动作 武侠 古装,香港 中国大陆,8.4
美国丽人,1999,每个人的内心都是深不可测的大海。 ,166042人评价,萨姆·门德斯 Sam Mendes,剧情 家庭,美国,8.4
青蛇,1993,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,192743人评价,徐克 Hark Tsui,剧情 奇幻 古装,香港,8.4
黄金三镖客,1966,最棒的西部片。,44351人评价,Sergio Leone,冒险 西部,意大利 西班牙 西德,9.1
上帝也疯狂,1980,纯净原始的笑与感动。,86638人评价,Jamie Uys,喜剧,博茨瓦纳 南非,8.6
爱·回家,2002,献给所有外婆的电影。,42384人评价,李廷香 Jeong-hyang Lee,剧情 儿童 家庭,韩国,9.1
无耻混蛋,2009,昆汀同学越来越变态了，比北野武还杜琪峰。,201085人评价,Quentin Tarantino,剧情 犯罪,美国 德国,8.4
勇士,2011,热血沸腾，相当完美的娱乐拳击大餐。,78787人评价,加文·欧康诺 Gavin O'Connor,剧情 运动 家庭,美国,8.9
初恋这件小事,2010,黑小鸭速效美白记。,411808人评价,Puttipong Promsaka Na Sakolnakorn / Wasin pokpong,喜剧 爱情,泰国,8.2
曾经,2006,有些幸福无关爱情。,186992人评价,约翰·卡尼 John Carney,剧情 音乐 爱情,爱尔兰,8.3
城市之光,1931,永远的小人物，伟大的卓别林。,36527人评价,Charles Chaplin,喜剧 剧情 爱情,美国,9.2
蓝色大门,2002,青春的窃窃私语。 ,250976人评价,易智言 Chih-yen Yee,剧情 爱情 同性,台湾 法国,8.2
麦兜故事,2001,麦兜是一只很哲学的猪。 ,116166人评价,袁建滔 Toe Yuen,剧情 喜剧 动画,香港,8.5
蝴蝶,2002,我们长途跋涉寻找的东西，有可能一直就在身边。 ,88563人评价,菲利普·穆伊尔 Philippe Muyl,剧情 儿童 喜剧,法国,8.6
暖暖内含光,2004,恋爱是一次神经的冒险。就算失去记忆，也会爱上你。,130665人评价,米歇尔·冈瑞 Michel Gondry,剧情 爱情 奇幻,美国,8.4
无敌破坏王,2012,迪士尼和皮克斯拿错剧本的产物。,167790人评价,瑞奇·莫尔 Rich Moore,喜剧 动画 冒险,美国,8.7
与狼共舞,1990,充满诗意与情怀的史诗作品。 ,51538人评价,Kevin Costner,冒险 剧情 西部,美国,8.9
巴黎淘气帮,2009,四百击的反面。,97286人评价,Laurent Tirard,儿童 喜剧 家庭,法国 比利时,8.6
大卫·戈尔的一生,2003,捍卫人权只是信仰，一点不妨碍其行为的残忍。,74841人评价,Alan Parker,剧情 犯罪 悬疑,美国 德国 英国,8.7
遗愿清单,2007,用剩余不多的时间，去燃烧整个生命。,110686人评价,罗伯·莱纳 Rob Reiner,冒险 喜剧 剧情,美国,8.5
国王的演讲,2010,皇上无话儿。,305566人评价,汤姆·霍珀 Tom Hooper,剧情 传记 历史,英国 澳大利亚 美国,8.3
血钻,2006,每个美丽事物背后都是滴血的现实。,113954人评价,Edward Zwick,剧情 惊悚 冒险,美国 德国,8.5
夜访吸血鬼,1994,弥漫淡淡血腥气的优雅。,180231人评价,尼尔·乔丹 Neil Jordan,剧情 奇幻 惊悚,美国,8.3
偷拐抢骗,2000,典型盖·里奇式的英国黑色幽默黑帮片。,104437人评价,盖·里奇 Guy Ritchie,喜剧 犯罪,英国 美国,8.5
两小无猜,2003,"Love me, if you dare. ",294772人评价,杨·塞谬尔 Yann Samuell,喜剧 剧情 爱情,法国 比利时,8.2
爱在暹罗,2007,把爱放在心底，有爱就有希望。,204978人评价,楚克‧萨克瑞科 Chukiat Sakveerakul,剧情 爱情 同性 家庭,泰国,8.3
荒岛余生,2000,一个人的独角戏。,117361人评价,罗伯特·泽米吉斯 Robert Zemeckis,冒险 剧情,美国,8.4
中央车站,1998,心灵救赎。,70344人评价,Walter Salles,剧情,巴西 法国,8.7
模仿游戏,2014,无,221425人评价,莫腾·泰杜姆 Morten Tyldum,剧情 传记 战争 同性,英国 美国,8.5
月球,2009,2009媲美《第九区》的又一部科幻神作。,127082人评价,邓肯·琼斯 Duncan Jones,剧情 科幻 悬疑,英国,8.5
罪恶之城,2005,权力不是来自枪和子弹，权力来自谎言。,129458人评价,弗兰克·米勒 Frank Miller / 罗伯特·罗德里格兹 Robert Rodriguez   ...,动作 犯罪 惊悚,美国,8.4
千钧一发,1997,一部能引人思考的科幻励志片。,71665人评价,安德鲁·尼科尔 Andrew Niccol,剧情 科幻,美国,8.7
疯狂的石头,2006,中国版《两杆大烟枪》。,272699人评价,宁浩 Hao Ning,喜剧 犯罪,中国大陆 香港,8.2
寿司之神,2011,仪式主义的狂欢，偏执狂的完胜。,71590人评价,大卫·贾柏 David Gelb,纪录片,美国,8.8
枪火,1999,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,85389人评价,杜琪峰 Johnnie To,剧情 动作 犯罪,香港,8.6
我爱你,2011,你要相信，这世上真的有爱存在，不管在什么年纪 ,47852人评价,秋昌民 Chang-min Choo,剧情 爱情,韩国,9.0
廊桥遗梦,1995,这样确切的爱，一生只有一次。,86065人评价,Clint Eastwood,剧情 爱情,美国,8.5
爱在午夜降临前,2013,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,98407人评价,理查德·林克莱特 Richard Linklater,剧情 爱情,美国,8.7
角斗士,2000,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。,117382人评价,Ridley Scott,剧情 动作 历史 冒险,英国 美国,8.4
假如爱有天意,2003,琼瑶阿姨在韩国的深刻版。,207491人评价,郭在容 Jae-young Kwak,剧情 爱情,韩国,8.2
导盲犬小Q,2004,宠物的意义在于化解人的孤独。,110346人评价,崔洋一 Yoichi Sai,剧情,日本,8.4
黑鹰坠落,2001,还原真实而残酷的战争。,96239人评价,雷德利·斯科特 Ridley Scott,动作 历史 战争,美国,8.5
